,year,importer,supply_concentration
298,1995,CHL,0.3221888159569182
299,1995,CHN,0.34838332026715246
300,1995,CIV,0.6217495094434574
301,1995,CMR,0.37348756166268327
302,1995,COG,0.5214063617565198
303,1995,COL,0.22574889268998566
304,1995,COM,1.0
305,1995,CRI,0.8487122041209952
306,1995,CYP,0.12240671317451807
307,1995,CZE,0.2525759459880263
308,1995,DEU,0.12316171706983348
309,1995,DMA,0.47591100527941504
310,1995,DNK,0.17645985073779294
311,1995,DZA,0.19424164814713987
312,1995,ECU,0.4452285839128779
313,1995,EGY,0.12539666440593572
314,1995,ESP,0.14972538818371553
315,1995,EST,0.17942428480451708
316,1995,ETH,0.8607712946363277
317,1995,FIN,0.12734336471805974
318,1995,FRA,0.13707652864482384
319,1995,GBR,0.14558589813002393
320,1995,GIN,0.5576775371472897
321,1995,GLP,0.8279101952700714
322,1995,GMB,0.3172071560407333
323,1995,GRC,0.21633264093617596
324,1995,GRD,0.4088777150115392
325,1995,GRL,0.5474086442648038
326,1995,GTM,0.5997180565516844
327,1995,GUF,1.0
328,1995,HKG,0.17837084094773853
329,1995,HND,0.8769206241598503
330,1995,HRV,0.19292761275876763
331,1995,HUN,0.2465054481240783
332,1995,IDN,0.2131770202848747
333,1995,IND,0.12945550477677473
334,1995,IRL,0.2628599599610243
335,1995,ISL,0.1412332207927083
336,1995,ISR,0.24605661959553607
337,1995,ITA,0.16698236457037643
338,1995,JOR,0.17357061458519601
339,1995,JPN,0.13188358190518504
340,1995,KAZ,0.32919295943383126
341,1995,KGZ,0.9434886320104328
342,1995,KIR,0.983556559804982
343,1995,KNA,0.9971713198591878
344,1995,KOR,0.48709015090820357
345,1995,LCA,0.5781750038417519
346,1995,LTU,0.19500816566432522
347,1995,LVA,0.6901447689092051
348,1995,MAC,0.39153301118310535
349,1995,MAR,0.2484897474340893
350,1995,MDA,0.2683444162833504
351,1995,MDG,0.2999426100884129
352,1995,MDV,0.3538198969039989
353,1995,MEX,0.6607745524914589
354,1995,MKD,0.23593179356142496
355,1995,MLT,0.2944140642007962
356,1995,MOZ,0.4586149172298345
357,1995,MTQ,0.6932701099021105
358,1995,MUS,0.11401729906083519
359,1995,MWI,0.20882646016469117
360,1995,MYS,0.23766394097156715
361,1995,NER,0.37734257888860007
362,1995,NIC,0.30408840162287176
363,1995,NLD,0.495859569848395
364,1995,NOR,0.11527869742479621
365,1995,NZL,0.15889080095779218
366,1995,OMN,0.5641173455760017
367,1995,PAN,0.900411514497371
368,1995,PER,0.2521785292077144
369,1995,POL,0.09303801217151142
370,1995,PRT,0.33269955081277824
371,1995,PRY,0.4370633314371478
372,1995,REU,0.7786710435929995
373,1995,ROU,0.1713032073584476
374,1995,SAU,0.21156307775681
375,1995,SDN,0.7457476339158445
376,1995,SGP,0.22377776529106483
377,1995,SLV,0.6654161941816086
378,1995,SVK,0.11971945194821865
379,1995,SVN,0.31138044931655146
380,1995,SWE,0.20760384217745856
381,1995,SYC,0.3648279740967035
382,1995,TCD,0.24353863478826682
383,1995,TGO,0.8619098405219209
384,1995,THA,0.328985993682815
385,1995,TUN,0.13022520286989256
386,1995,TUR,0.17626530699010898
387,1995,TZA,0.368238260758765
388,1995,UGA,0.197396098425083
389,1995,URY,0.2160233918128655
390,1995,USA,0.1751113415612993
391,1995,VCT,0.9090702448124985
392,1995,VEN,0.39973945146094525
393,1995,ZA1,0.10574749461283693
394,1995,ZMB,0.3597147024285299
395,1995,ZWE,0.18937649104589013
396,1996,ALB,0.44279871274475674
397,1996,AND,0.3566000254633294
398,1996,ARG,0.14247547337462388
399,1996,AUS,0.1396125156200827
400,1996,AUT,0.15187170693257243
401,1996,AZE,0.5839575442365312
402,1996,BDI,0.6888279818813907
403,1996,BEL,0.3311958328256245
404,1996,BFA,0.5838472711852962
405,1996,BGD,0.1342459624735714
406,1996,BGR,0.13270734669242226
407,1996,BLZ,0.9388058570128085
408,1996,BOL,0.48395355192427914
409,1996,BRA,0.19347022321733692
410,1996,CAF,0.6601786255061839
411,1996,CAN,0.2581898661628148
412,1996,CHE,0.1938850188435269
413,1996,CHL,0.27327782352710106
414,1996,CHN,0.28329236527086976
415,1996,CIV,0.4565841812819131
416,1996,CMR,0.49261151679165116
417,1996,COL,0.317092042080394
418,1996,COM,0.7226115733910765
419,1996,CRI,0.843351667391741
420,1996,CYP,0.12482699247660145
421,1996,CZE,0.23332186123918458
422,1996,DEU,0.12105753625808095
423,1996,DMA,0.4826401071590427
424,1996,DNK,0.18180250720257118
425,1996,DZA,0.18002923880956964
426,1996,ECU,0.3740336930348176
427,1996,EGY,0.16070072728763626
428,1996,ESP,0.1230136870440044
429,1996,EST,0.18082719435573233
430,1996,FIN,0.12126363436472505
431,1996,FRA,0.13759999490668048
432,1996,FRO,0.2778951660072417
433,1996,GAB,0.5080263550243967
434,1996,GBR,0.13847703054882352
435,1996,GEO,1.0
436,1996,GHA,0.2890993756591919
437,1996,GIN,0.30622740885120864
438,1996,GMB,0.3093622808366128
439,1996,GRC,0.2008642416253201
440,1996,GRD,0.3537995259166154
441,1996,GRL,0.43634235127830995
442,1996,GTM,0.5788585646198792
443,1996,HKG,0.14577467374204114
444,1996,HND,0.874576776001053
445,1996,HRV,0.19982495121673824
446,1996,HUN,0.28998778760688915
447,1996,IDN,0.17677688481704154
448,1996,IND,0.10782239502662341
449,1996,IRL,0.25492443752691246
450,1996,ISL,0.13233604315766231
451,1996,ISR,0.26541273546664923
452,1996,ITA,0.15553513287069823
453,1996,JAM,0.8660439165953938
454,1996,JPN,0.1269979027078304
455,1996,KAZ,0.5924233541731091
456,1996,KGZ,0.4519414210466359
457,1996,KIR,1.0
458,1996,KNA,0.9093864268634181
459,1996,KOR,0.40611916928308583
460,1996,LCA,0.48260359575684797
461,1996,LTU,0.18693492659395047
462,1996,LVA,0.2340764199757265
463,1996,MAC,0.4577017699566775
464,1996,MAR,0.23029361815180885
465,1996,MDA,0.6777843506541111
466,1996,MDG,0.34523032479822685
467,1996,MDV,0.4172766319902629
468,1996,MEX,0.673215170730266
469,1996,MKD,0.15965005985588313
470,1996,MLI,0.23417557004231396
471,1996,MLT,0.2246350429432052
472,1996,MNG,1.0
473,1996,MOZ,0.4510142243918861
474,1996,MUS,0.12490419877585625
475,1996,MYS,0.19898045651022514
476,1996,NER,0.22389423308303513
477,1996,NGA,0.2891391998329692
478,1996,NIC,0.45494690065500676
479,1996,NLD,0.35226976636410173
480,1996,NOR,0.11400668451190588
481,1996,NZL,0.13333075342120504
482,1996,OMN,0.9467409425172462
483,1996,PAN,0.8325827410681346
484,1996,PER,0.4269069128233194
485,1996,PHL,0.15702565968026364
486,1996,POL,0.08630692614693447
487,1996,PRT,0.2866898671686098
488,1996,PRY,0.23122355190156677
489,1996,PYF,0.48890240670918794
490,1996,ROU,0.1324389798717841
491,1996,RUS,0.12615920049557652
492,1996,RWA,0.6161854848037955
493,1996,SAU,0.14301594196929188
494,1996,SCG,0.21191398810473785
495,1996,SDN,0.5548666265603592
496,1996,SEN,0.41029370084698186
497,1996,SGP,0.20553663864314656
498,1996,SLB,0.3692248841013117
499,1996,SLV,0.6157419308298229
500,1996,SUR,0.47402953339189724
501,1996,SVK,0.15350607406978478
502,1996,SVN,0.2915296031804157
503,1996,SWE,0.14936083631892882
504,1996,SYC,0.6263023097748663
505,1996,TGO,0.6411198131069218
506,1996,THA,0.3855801526833147
507,1996,TTO,0.4785582904528732
508,1996,TUN,0.14143534778654235
509,1996,TUR,0.15287779349701675
510,1996,TZA,0.16890410226147456
511,1996,UGA,0.12699525542070422
512,1996,UKR,0.40299872898080213
513,1996,URY,0.220511024866494
514,1996,USA,0.16128498163712301
515,1996,VEN,0.497510009960145
516,1996,ZA1,0.09836434362588717
517,1996,ZMB,0.24085673402153374
518,1997,ALB,0.4921209021550523
519,1997,AND,0.6445765970110455
520,1997,ARG,0.15415303315850287
521,1997,ARM,0.6685175851336905
522,1997,AUS,0.12765791298518386
523,1997,AUT,0.1571646577737932
524,1997,AZE,0.9810589534441394
525,1997,BDI,0.9814033169974106
526,1997,BEL,0.1948311260101978
527,1997,BFA,0.8648458091764364
528,1997,BGD,0.23908021849634212
529,1997,BGR,0.09236341484032412
530,1997,BHS,0.8237300862414398
531,1997,BLZ,0.9738273905185999
532,1997,BOL,0.92693371918415
533,1997,BRA,0.20065582825392816
534,1997,BRB,0.9508753920595501
535,1997,BRN,0.2730510632912837
536,1997,CAF,0.9449352130184221
537,1997,CAN,0.24147344197862672
538,1997,CHE,0.2091033811215319
539,1997,CHL,0.3181744066311269
540,1997,CHN,0.2704038353444825
541,1997,CIV,0.43908656331455603
542,1997,CMR,0.3106354465717778
543,1997,COL,0.37851638222447326
544,1997,COM,1.0
545,1997,CPV,0.26414427342320235
546,1997,CRI,0.8759592878629653
547,1997,CYP,0.10492231563746962
548,1997,DEU,0.12715957368092948
549,1997,DMA,0.4364663695601182
550,1997,DZA,0.13147893564541197
551,1997,ECU,0.36008326228669374
552,1997,EGY,0.09665237317647152
553,1997,ESP,0.1360879905149878
554,1997,EST,0.16166448676509435
555,1997,ETH,0.7426437789552732
556,1997,FIN,0.10497659001610608
557,1997,FRA,0.1339448708830069
558,1997,FRO,0.2558154076423804
559,1997,GAB,0.25035881536216165
560,1997,GBR,0.13556985096681262
561,1997,GEO,0.9421423136139002
562,1997,GHA,0.22835959607145465
563,1997,GIN,0.28609196838682166
564,1997,GMB,0.32708758818152617
565,1997,GRC,0.25335466158321435
566,1997,GRD,0.40452232790178577
567,1997,GRL,0.5117545698267293
568,1997,GTM,0.7736702858671142
569,1997,GUY,0.9060083283759666
570,1997,HKG,0.14600251338067805
571,1997,HND,0.8618655815209001
572,1997,HRV,0.1707557176373739
573,1997,HUN,0.2045323333751499
574,1997,IDN,0.1599984394947222
575,1997,IND,0.10736231966169259
576,1997,IRL,0.24783825404434098
577,1997,IRN,0.23998539583031026
578,1997,ISL,0.1545438236917762
579,1997,ISR,0.3232247669062171
580,1997,ITA,0.15542546594113246
581,1997,JAM,0.46822754027990937
582,1997,JOR,0.1501325781314634
583,1997,JPN,0.13125205462703785
584,1997,KAZ,0.32866488716296405
585,1997,KEN,0.13637296753679912
586,1997,KIR,0.9951154279842489
587,1997,KNA,0.8801314636288695
588,1997,KOR,0.38023929904606946
589,1997,LBN,0.7782917891154431
590,1997,LCA,0.4816906358670757
591,1997,LTU,0.23850453007525946
592,1997,LVA,0.19476311846928582
593,1997,MAC,0.7043987326779678
594,1997,MAR,0.2811310838025813
595,1997,MDA,0.5521707485214152
596,1997,MDG,0.39245807980981323
597,1997,MDV,0.3416749058056373
598,1997,MEX,0.6804504469401647
599,1997,MKD,0.16247231840535079
600,1997,MLI,0.5771885200731961
601,1997,MLT,0.2847345059580052
602,1997,MNG,0.9734326544995615
603,1997,MOZ,0.36120463374107936
604,1997,MUS,0.1002171400981635
605,1997,MYS,0.17925883427857764
