,importer,baseline_supply,imports_china,after_shock_imports,new_baseline_supply,absolute_loss,loss_percent,absolute_loss_100m,supply_concentration,vulnerability_type,china_share,china_loss,replacement,adjusted_loss,Region Name
110,SAU,2178285760.21,2092482972.488,1255489783.4928,1341292571.2148001,836993188.9951999,0.38424397950180267,8.37,0.9231348271939003,Highly vulnerable,0.9606099487545068,0.3842439795018027,0.029534979884109507,0.3547089996176932,Asia
111,SEN,26695654.551,21064240.404,12638544.2424,18269958.389399998,8425696.161600001,0.31562051215126996,0.08,0.629068234770611,Highly vulnerable,0.7890512803781748,0.31562051215126996,0.11707367371487439,0.1985468384363956,Africa
112,SGP,5543145189.216,1385199634.796,831119780.8776,4989065335.2976,554079853.9183998,0.09995766573034084,5.54,0.1565690753890768,Resilient,0.24989416432585218,0.09995766573034087,0.08430738642889099,0.015650279301449882,Asia
113,SLV,14540016.34,13331760.1,7999056.06,9207312.3,5332704.039999999,0.3667605259376207,0.05,0.8421809290930515,Highly vulnerable,0.9169013148440519,0.36676052593762076,0.05788180544881908,0.30887872048880166,Americas
114,SRB,273962068.0,166996962.0,100198177.2,207163283.2,66798784.80000001,0.243824940027829,0.67,0.4059380309473408,Resilient,0.6095623500695724,0.24382494002782895,0.1448471239770786,0.09897781605075034,Europe
115,SUR,1160105.171,586903.807,352142.2842,925343.6482,234761.52280000004,0.20236227599747508,0.0,0.32758535038575154,Resilient,0.5059056899936877,0.20236227599747508,0.13607135890998404,0.06629091708749105,Americas
116,SVK,615107532.921,151376892.893,90826135.7358,554556775.7638,60550757.15719998,0.09843930356316524,0.61,0.1722836608747309,Resilient,0.2460982589079132,0.09843930356316528,0.08147981997134422,0.016959483591821062,Europe
117,SVN,327378172.962,190016155.37,114009693.222,251371710.814,76006462.148,0.23216716453733263,0.76,0.37645252493862635,Resilient,0.5804179113433316,0.23216716453733266,0.14476724923941228,0.08739991529792038,Europe
118,SWE,602974507.224,115790497.42,69474298.45199999,556658308.2559999,46316198.968000054,0.07681286424733372,0.46,0.15624351080747909,Resilient,0.19203216061833409,0.07681286424733363,0.06481135266215193,0.012001511585181701,Europe
119,SYC,713432.909,173290.299,103974.1794,644116.7894,69316.11959999998,0.09715856771614102,0.0,0.23367500093746502,Resilient,0.24289641929035263,0.09715856771614106,0.07445503931398904,0.02270352840215202,Africa
120,TGO,5719216.4860000005,2303823.481,1382294.0886000001,4797687.0936,921529.3924000002,0.1611286082028545,0.01,0.3546131092535745,Resilient,0.4028215205071361,0.16112860820285446,0.10399029145833924,0.05713831674451522,Africa
121,THA,5541276594.88,2379104061.56,1427462436.9359999,4589634970.2560005,951641624.6239996,0.17173689281334423,9.52,0.24152322184598257,Resilient,0.4293422320333607,0.17173689281334428,0.13025844515124718,0.0414784476620971,Asia
122,TTO,57591806.201,56032882.077,33619729.246199995,35178653.37019999,22413152.830800004,0.38917259779240665,0.22,0.9470787164472303,Highly vulnerable,0.9729314944810165,0.3891725977924066,0.020595513398739947,0.36857708439366665,Americas
